Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   73	 132.78	     7.64	-1	3     132.78	    0.00    140.41 	  7.64 
   74	 133.82	     6.82	-1	4     133.82	    0.00    140.64 	  6.82 
   68	 124.49	    17.04	-1	0     124.49	    0.00    141.54 	 17.04 
   77	 138.90	     4.84	-1	2     138.90	    0.00    143.74 	  4.84 
   76	 136.55	     7.92	-1	5     136.55	    0.00    144.47 	  7.92 
   67	 122.25	    22.51	-1	1     122.25	    0.00    144.77 	 22.51 
   81	 146.22	     1.77	-1	2     146.22	    0.00    147.99 	  1.77 
   82	 146.30	     1.97	-1	4     146.30	    0.00    148.28 	  1.97 
   84	 149.04	     1.05	-1	4     149.04	    0.00    150.09 	  1.05 
   85	 149.71	     2.71	-1	5     149.71	    0.00    152.42 	  2.71 
   79	 141.87	    11.53	-1	0     141.87	    0.00    153.40 	 11.53 
   80	 145.66	    10.21	-1	1     145.66	    0.00    155.87 	 10.21 
   87	 150.72	     4.15	0	5     152.42	    1.70    156.58 	  5.85 
   78	 139.22	    16.62	0	3     140.41	    1.20    157.04 	 17.82 
   83	 149.01	     9.41	-1	2     149.01	    0.00    158.42 	  9.41 
   86	 149.73	     8.35	0	4     150.09	    0.36    158.44 	  8.71 
   90	 155.34	     2.45	0	5     156.58	    1.24    159.03 	  3.69 
   89	 153.08	     4.75	0	1     155.87	    2.79    160.62 	  7.54 
   91	 160.67	     1.29	-1	1     160.67	    0.00    161.96 	  1.29 
   88	 151.17	    14.70	0	0     153.40	    2.23    168.11 	 16.93 
   95	 167.20	     1.39	-1	4     167.20	    0.00    168.59 	  1.39 
   94	 166.42	     5.65	-1	3     166.42	    0.00    172.07 	  5.65 
   92	 160.78	    11.36	-1	2     160.78	    0.00    172.14 	 11.36 
   97	 170.00	     2.39	-1	4     170.00	    0.00    172.39 	  2.39 
   99	 171.91	     0.52	0	3     172.07	    0.16    172.59 	  0.69 
   96	 169.51	     4.12	-1	0     169.51	    0.00    173.63 	  4.12 
   102	 174.46	     0.82	-1	3     174.46	    0.00    175.29 	  0.82 
   101	 174.39	     3.19	-1	0     174.39	    0.00    177.59 	  3.19 
   103	 175.69	     4.03	-1	3     175.69	    0.00    179.72 	  4.03 
   100	 173.54	     7.66	-1	2     173.54	    0.00    181.21 	  7.66 
   106	 181.72	     1.17	-1	2     181.72	    0.00    182.88 	  1.17 
   93	 163.86	    19.51	-1	1     163.86	    0.00    183.37 	 19.51 
   104	 175.88	     9.00	-1	4     175.88	    0.00    184.88 	  9.00 
   105	 179.36	     5.52	-1	0     179.36	    0.00    184.89 	  5.52 
   98	 170.72	    15.34	-1	5     170.72	    0.00    186.07 	 15.34 
   108	 187.00	     1.32	-1	0     187.00	    0.00    188.32 	  1.32 
   109	 188.59	     2.09	-1	0     188.59	    0.00    190.68 	  2.09 
   107	 184.66	    14.71	-1	1     184.66	    0.00    199.37 	 14.71 
   111	 193.22	     6.36	-1	0     193.22	    0.00    199.58 	  6.36 
   112	 194.34	     6.56	-1	3     194.34	    0.00    200.90 	  6.56 
   110	 190.43	    19.49	-1	2     190.43	    0.00    209.93 	 19.49 
   113	 208.42	     9.00	-1	0     208.42	    0.00    217.42 	  9.00 
   115	 209.58	     8.12	-1	3     209.58	    0.00    217.70 	  8.12 
   116	 211.12	     6.87	-1	2     211.12	    0.00    217.99 	  6.87 
   121	 215.92	     2.08	0	2     217.99	    2.07    220.07 	  4.15 
   120	 215.54	     3.90	0	3     217.70	    2.15    221.60 	  6.05 
   123	 219.50	     1.55	0	3     221.60	    2.10    223.15 	  3.64 
   118	 214.27	     9.72	-1	5     214.27	    0.00    223.99 	  9.72 
   122	 218.67	     4.09	0	2     220.07	    1.41    224.16 	  5.49 
   117	 211.53	    12.74	-1	4     211.53	    0.00    224.27 	 12.74 
   119	 214.41	    10.71	0	0     217.42	    3.02    228.13 	 13.73 
   124	 225.94	     4.59	-1	2     225.94	    0.00    230.54 	  4.59 
   114	 209.52	    26.31	-1	1     209.52	    0.00    235.83 	 26.31 
   127	 238.03	     1.40	-1	2     238.03	    0.00    239.43 	  1.40 
   126	 237.20	     5.15	-1	1     237.20	    0.00    242.35 	  5.15 
   131	 242.94	     0.65	-1	2     242.94	    0.00    243.58 	  0.65 
   133	 245.66	     0.53	-1	2     245.66	    0.00    246.19 	  0.53 
   128	 238.19	     8.50	-1	3     238.19	    0.00    246.69 	  8.50 
   130	 242.54	     6.79	-1	1     242.54	    0.00    249.33 	  6.79 
   125	 233.90	    16.91	-1	0     233.90	    0.00    250.82 	 16.91 
   137	 250.96	     1.54	-1	0     250.96	    0.00    252.50 	  1.54 
   136	 250.80	     2.11	-1	1     250.80	    0.00    252.92 	  2.11 
   134	 247.66	     6.39	-1	2     247.66	    0.00    254.05 	  6.39 
   139	 254.89	     1.83	-1	1     254.89	    0.00    256.72 	  1.83 
   138	 254.16	     3.12	-1	0     254.16	    0.00    257.28 	  3.12 
   141	 256.23	     1.12	0	1     256.72	    0.49    257.84 	  1.61 
   140	 255.76	     2.14	-1	2     255.76	    0.00    257.90 	  2.14 
   135	 249.24	    10.72	-1	3     249.24	    0.00    259.96 	 10.72 
   142	 258.25	     1.87	-1	0     258.25	    0.00    260.13 	  1.87 
   132	 243.23	    18.51	-1	5     243.23	    0.00    261.74 	 18.51 
   129	 239.09	    29.66	-1	4     239.09	    0.00    268.75 	 29.66 
   144	 264.97	     5.44	-1	1     264.97	    0.00    270.41 	  5.44 
   143	 264.55	     5.96	-1	0     264.55	    0.00    270.52 	  5.96 
   146	 269.55	     1.89	-1	3     269.55	    0.00    271.44 	  1.89 
   147	 272.30	     5.74	-1	0     272.30	    0.00    278.03 	  5.74 
   145	 268.96	    10.97	-1	2     268.96	    0.00    279.94 	 10.97 
   149	 278.44	     3.91	-1	0     278.44	    0.00    282.35 	  3.91 
   150	 287.41	     4.10	-1	0     287.41	    0.00    291.51 	  4.10 
   151	 287.83	     3.88	-1	2     287.83	    0.00    291.71 	  3.88 
   153	 298.05	     0.95	-1	2     298.05	    0.00    299.00 	  0.95 
   154	 299.42	     3.03	-1	2     299.42	    0.00    302.45 	  3.03 
   158	 305.06	     0.30	-1	5     305.06	    0.00    305.35 	  0.30 
   148	 273.68	    31.72	-1	1     273.68	    0.00    305.40 	 31.72 
